split,citation,mention_count_in_split,pattern_covered,family,subfamily,pattern,present_in_laws_de_source,present_in_laws_de_text,present_in_court_source,present_in_court_text,present_in_source_column_any,present_as_text_reference_any,present_in_any_extracted,text_reference_only_any
train,Art. 10a Abs. 1 USG,1,True,law,statute_article,statute_article,True,False,False,True,True,True,True,False
train,Art. 2 Abs. 1 UVPV,2,True,law,statute_article,statute_article,True,False,False,True,True,True,True,False
train,Art. 10a Abs. 1 UVG,1,True,law,statute_article,statute_article,False,False,False,False,False,False,False,False
train,Art. 975 ZGB,5,True,law,statute_article,statute_article,False,False,False,True,False,True,True,True
train,Art. 974 Abs. 2 ZGB,5,True,law,statute_article,statute_article,True,False,False,True,True,True,True,False
train,Art. 973 ZGB,3,True,law,statute_article,statute_article,False,False,False,True,False,True,True,True
train,Art. 661 ZGB,4,True,law,statute_article,statute_article,True,False,False,True,True,True,True,False
train,Art. 956a ZGB,2,True,law,statute_article,statute_article,False,True,False,True,False,True,True,True
train,Art. 956a Abs. 3 ZGB,2,True,law,statute_article,statute_article,True,False,False,True,True,True,True,False
train,Art. 955 Abs. 1 ZGB,2,True,law,statute_article,statute_article,True,False,False,True,True,True,True,False
train,Art. 976 ZGB,4,True,law,statute_article,statute_article,True,False,False,True,True,True,True,False
train,Art. 976a ZGB,4,True,law,statute_article,statute_article,False,True,False,True,False,True,True,True
train,Art. 60 OR,2,True,law,statute_article,statute_article,False,False,False,True,False,True,True,True
train,Art. 955 Abs. 2 ZGB,2,True,law,statute_article,statute_article,True,False,False,False,True,False,True,False
train,Art. 264m StGB,1,True,law,statute_article,statute_article,False,False,False,True,False,True,True,True
train,Art. 176 Abs. 1 IPRG,2,True,law,statute_article,statute_article,True,False,False,True,True,True,True,False
train,Art. 186 Abs. 1 IPRG,2,True,law,statute_article,statute_article,True,False,False,True,True,True,True,False
train,Art. 186 Abs. 3 IPRG,1,True,law,statute_article,statute_article,True,False,False,True,True,True,True,False
train,Art. 190 Abs. 3 IPRG,1,True,law,statute_article,statute_article,True,False,False,True,True,True,True,False
train,Art. 93 Abs. 1 BGG,4,True,law,statute_article,statute_article,True,False,False,True,True,True,True,False
train,Art. 89 Abs. 1 BGG,3,True,law,statute_article,statute_article,True,False,False,True,True,True,True,False
train,Art. 89 Abs. 2 BGG,6,True,law,statute_article,statute_article,True,False,False,True,True,True,True,False
train,Art. 50 BV,1,True,law,statute_article,statute_article,False,False,False,True,False,True,True,True
train,Art. 95 BGG,3,True,law,statute_article,statute_article,True,True,False,True,True,True,True,False
train,Art. 106 Abs. 2 BGG,4,True,law,statute_article,statute_article,True,False,False,True,True,True,True,False
train,Art. 42 Abs. 1 StGB,5,True,law,statute_article,statute_article,True,False,False,True,True,True,True,False
train,Art. 106 StGB,1,True,law,statute_article,statute_article,False,True,False,True,False,True,True,True
train,Art. 42 Abs. 4 StGB,3,True,law,statute_article,statute_article,True,False,False,True,True,True,True,False
train,Art. 626 Abs. 1 ZGB,2,True,law,statute_article,statute_article,True,False,False,True,True,True,True,False
train,Art. 626 Abs. 2 ZGB,3,True,law,statute_article,statute_article,True,False,False,True,True,True,True,False
train,Art. 630 ZGB,2,True,law,statute_article,statute_article,False,False,False,True,False,True,True,True
train,Art. 69 DBG,1,True,law,statute_article,statute_article,True,True,False,True,True,True,True,False
train,Art. 358 OR,1,True,law,statute_article,statute_article,True,True,False,True,True,True,True,False
train,Art. 337 OR,3,True,law,statute_article,statute_article,False,True,False,True,False,True,True,True
train,Art. 361 OR,1,True,law,statute_article,statute_article,False,False,False,True,False,True,True,True
train,Art. 11 StGB,2,True,law,statute_article,statute_article,False,False,False,True,False,True,True,True
train,Art. 29 StGB,2,True,law,statute_article,statute_article,True,False,False,True,True,True,True,False
train,Art. 111 StGB,2,True,law,statute_article,statute_article,True,True,False,True,True,True,True,False
train,Art. 158 StGB,8,True,law,statute_article,statute_article,False,False,False,True,False,True,True,True
train,Art. 117 StGB,1,True,law,statute_article,statute_article,True,False,False,True,True,True,True,False
train,Art. 102 Abs. 1 StGB,4,True,law,statute_article,statute_article,True,False,False,True,True,True,True,False
train,Art. 102 Abs. 2 StGB,4,True,law,statute_article,statute_article,True,False,False,True,True,True,True,False
train,Art. 102 StGB,5,True,law,statute_article,statute_article,False,True,False,True,False,True,True,True
train,Art. 102 Abs. 4 StGB,2,True,law,statute_article,statute_article,True,False,False,False,True,False,True,False
train,Art. 706 OR,2,True,law,statute_article,statute_article,False,True,False,True,False,True,True,True
train,Art. 717 OR,2,True,law,statute_article,statute_article,False,False,False,True,False,True,True,True
train,Art. 643 OR,2,True,law,statute_article,statute_article,False,False,False,True,False,True,True,True
train,Art. 716a Abs. 1 OR,2,True,law,statute_article,statute_article,True,False,False,True,True,True,True,False
train,Art. 12 Abs. 2 StGB,7,True,law,statute_article,statute_article,True,True,False,True,True,True,True,False
train,Art. 65 StGB,3,True,law,statute_article,statute_article,False,True,False,True,False,True,True,True
train,Art. 65 Abs. 1 StGB,1,True,law,statute_article,statute_article,True,True,False,True,True,True,True,False
train,Art. 50 FINMAG,1,True,law,statute_article,statute_article,False,False,False,True,False,True,True,True
train,Art. 156 FinfraG,1,True,law,statute_article,statute_article,False,False,False,False,False,False,False,False
train,Art. 144 FinfraG,4,True,law,statute_article,statute_article,True,False,False,False,True,False,True,False
train,Art. 8 DSG,2,True,law,statute_article,statute_article,False,True,False,True,False,True,True,True
train,Art. 8 Abs. 5 DSG,1,True,law,statute_article,statute_article,False,False,False,True,False,True,True,True
train,Art. 9 Abs. 1 DSG,1,True,law,statute_article,statute_article,True,False,False,True,True,True,True,False
