split,query_id,citation,present_as_text_reference,parent_count_global,parent_in_same_query_gold,same_query_gold_parents,sample_global_parents,status
train,train_0001,Art. 10a Abs. 1 UVG,False,0,False,,,no_parent_edges_found
train,train_0002,Art. 975 ZGB,True,43,False,,1C_664/2024 E. 4.2.2;5A.6/2005 17.03.2005 E. 3;5A_1007/2020 E. 2.3.1;5A_134/2020 E. 1;5A_194/2013 E. 3.1;5A_194/2013 E. 4.1;5A_194/2013 E. 5;5A_195/2012 21.06.2012 E. 1;5A_222/2015 E. 2.3;5A_222/2015 E. C;5A_250/2018 E. 2.1;5A_250/2018 E. 2.2;5A_250/2018 E. 3.3;5A_250/2018 E. 3.5;5A_480/2016 E. 1.1;5A_480/2016 E. 1.2;5A_489/2010 06.12.2010 E. 3;5A_494/2020 E. 3.1;5A_520/2018 E. 2;5A_552/2018 E. 1,has_parents_but_none_in_same_query_gold
train,train_0002,Art. 973 ZGB,True,50,False,,1C_151/2010 21.06.2010 E. 2;1C_340/2016 E. 3.1;1C_585/2015 E. 2;2C_49/2014 E. 4.3;4A_393/2018 E. 2.4.4;4A_553/2015 10.03.2016 E. 5.3.2;4C.339/2004 12.01.2005 E. 4;5A_1007/2020 E. 2.1.2;5A_1043/2021 E. 3.2.2;5A_155/2012 29.05.2012 E. 4;5A_178/2017 E. 7.1;5A_28/2021 E. 3.4.3;5A_304/2015 E. 4.2;5A_361/2017 E. 2.4.6;5A_375/2010 25.11.2010 E. 3;5A_377/2017 E. 2.3.1;5A_412/2009 27.10.2009 E. 5;5A_449/2014 E. 2.2.1;5A_458/2019 E. 3.3;5A_473/2017 E. 3,has_parents_but_none_in_same_query_gold
train,train_0002,Art. 956a ZGB,True,9,False,,5A_1024/2020 E. 1;5A_12/2021 E. 1;5A_12/2021 E. 2;5A_237/2018 E. 2.2;5A_237/2018 E. 2.3;5A_518/2017 E. 1.1;5A_595/2024 E. A;Art. 6 Abs. 3 GBV;BGE 144 III 310 E. 2.2.2,has_parents_but_none_in_same_query_gold
train,train_0002,Art. 976a ZGB,True,2,False,,5A_726/2021 E. 3.2;Art. 69 Abs. 4 GBV,has_parents_but_none_in_same_query_gold
train,train_0002,Art. 60 OR,True,99,False,,1C_315/2018 10.04.2019 E. 2.3;1C_353/2007 30.10.2008 E. 7.3;2A.29/2000 12.05.2000 E. 3;2A.373/1998 21.01.2000 E. 3;2A.553/2002 22.08.2003 E. 4;2C.3/2005 10.01.2007 E. 5;2C_1098/2018 E. 2.3;2C_192/2015 E. 3.6;2C_229/2023 30.08.2023 E. 7.2;2C_245/2018 E. 2.1;2C_245/2018 E. 7.3;2C_357/2016 E. 2.3;2C_372/2018 E. 3.1;2C_414/2013 E. 6.4.1;2C_414/2013 E. 6.4.2;2C_622/2024 E. 5.3;2C_622/2024 E. 5.4;2C_622/2024 E. 5.5;2C_622/2024 E. 5.7.1;2C_622/2024 E. 5.7.5,has_parents_but_none_in_same_query_gold
train,train_0003,Art. 264m StGB,True,7,False,,1B_1/2023 E. 3.8;1B_271/2017 E. 6.5;1B_417/2017 E. 7;1B_465/2018 E. 3.5;6B_466/2015 E. 1.4.1;BGE 142 IV 329 E. 1.4.1;BGE 143 IV 316 E. 6.5,has_parents_but_none_in_same_query_gold
train,train_0005,Art. 50 BV,True,99,False,,1C_100/2020 E. 1.3;1C_101/2007 26.02.2008 E. 1;1C_11/2008 25.09.2008 E. 1;1C_11/2008 25.09.2008 E. C;1C_119/2023 E. 1.1;1C_128/2019 25.08.2020 E. 1.3;1C_183/2007 05.02.2008 E. 6;1C_183/2007 05.02.2008 E. B;1C_188/2020 E. 2;1C_202/2009 12.10.2009 E. 2;1C_221/2017 18.04.2018 E. 7.2;1C_235/2018 E. 1.4;1C_235/2018 E. 3;1C_24/2024 E. 5;1C_241/2022 E. 2.5;1C_269/2022 E. 3.2.4;1C_289/2020 E. 2.5;1C_30/2018 E. 3.1;1C_314/2018 E. 3.1;1C_326/2008 29.10.2008 E. 1,has_parents_but_none_in_same_query_gold
train,train_0006,Art. 106 StGB,True,89,True,Art. 42 Abs. 4 StGB,1B_103/2019 E. 2.2;1B_103/2019 E. 2.7;1B_103/2019 E. 2.8;1B_360/2019 E. 4.2;4A_368/2023 E. 4.1;6B_1018/2021 E. 3;6B_1023/2008 07.05.2009 E. 1.3;6B_1040/2008 31.03.2009 E. 2;6B_1040/2008 31.03.2009 E. 3;6B_1040/2008 31.03.2009 E. 4;6B_1042/2008 30.04.2009 E. 2;6B_109/2007 17.03.2008 E. 7;6B_109/2007 17.03.2008 E. 8;6B_1113/2023 E. 4.1;6B_1151/2015 E. 2.3;6B_1227/2023 E. 4.2.1;6B_1228/2021 E. 4.2;6B_1284/2020 E. B;6B_1305/2023 E. 7.3.2;6B_1309/2020 E. 1.3.4,parent_in_same_query_gold
train,train_0007,Art. 630 ZGB,True,13,False,,5A_145/2013 E. 4;5A_180/2022 E. 3.2;5A_180/2022 E. 3.4.2;5A_326/2016 E. 4.2.2;5A_587/2010 11.02.2011 E. 4;5A_610/2009 01.02.2010 E. 6;5A_69/2008 20.08.2008 E. 6;5C.158/2006 23.03.2007 E. 6.3;5C.60/2003 07.05.2003 E. 3;5C.76/2006 29.08.2006 E. 2;5P.258/2006 23.03.2007 E. 6;BGE 133 III 416 E. 6.3.1;BGE 133 III 416 E. 6.3.4,has_parents_but_none_in_same_query_gold
