qid,K_pred,tier,cascade_score,n_codes_in_query,n_litigants,n_adversarial,n_posture,n_dates,has_iie_closing,is_english,n_borderline_law,n_borderline_court,n_pool_yes,n_pool_borderline,selected_full,K_pred_adaptive,K_pred_x1.3
val_001,10,cascade_heavy,32.5,1,4,4,5,3,True,True,274,776,1170,1050,2220,10,13
val_002,10,cascade_heavy,11.0,1,2,0,0,4,False,True,327,896,930,1223,2153,10,13
val_003,10,cascade_heavy,15.5,1,1,1,2,6,False,True,298,804,1102,1102,2204,10,13
val_004,5,cascade_moderate,5.0,1,0,0,0,2,False,True,282,934,740,1216,1956,5,6
val_005,5,cascade_moderate,4.5,1,0,1,0,0,False,True,283,870,940,1153,2093,5,6
val_006,5,cascade_moderate,4.0,1,0,0,0,1,False,True,237,1031,689,1268,1957,5,6
val_007,5,cascade_moderate,5.0,1,0,0,0,2,False,True,257,953,854,1210,2064,5,6
val_008,5,cascade_moderate,3.0,1,0,0,0,0,False,True,321,870,784,1191,1975,5,6
val_009,5,cascade_moderate,4.5,1,0,1,0,0,False,True,329,911,874,1240,2114,5,6
val_010,5,cascade_moderate,6.0,1,0,1,1,0,False,True,193,939,881,1132,2013,5,6
