stage,qid,gold_total,survived,dropped,recall
Stage 1a — pool intake (v7.5),val_001,42,39,3,0.9285714285714286
Stage 1a — pool intake (v7.5),val_002,38,30,8,0.7894736842105263
Stage 1a — pool intake (v7.5),val_003,47,36,11,0.7659574468085106
Stage 1a — pool intake (v7.5),val_004,10,10,0,1.0
Stage 1a — pool intake (v7.5),val_005,11,11,0,1.0
Stage 1a — pool intake (v7.5),val_006,18,17,1,0.9444444444444444
Stage 1a — pool intake (v7.5),val_007,19,17,2,0.8947368421052632
Stage 1a — pool intake (v7.5),val_008,30,25,5,0.8333333333333334
Stage 1a — pool intake (v7.5),val_009,14,13,1,0.9285714285714286
Stage 1a — pool intake (v7.5),val_010,25,22,3,0.88
Stage 1b — BM25 top-500,val_001,42,9,33,0.21428571428571427
Stage 1b — BM25 top-500,val_002,38,0,38,0.0
Stage 1b — BM25 top-500,val_003,47,0,47,0.0
Stage 1b — BM25 top-500,val_004,10,6,4,0.6
Stage 1b — BM25 top-500,val_005,11,1,10,0.09090909090909091
Stage 1b — BM25 top-500,val_006,18,3,15,0.16666666666666666
Stage 1b — BM25 top-500,val_007,19,3,16,0.15789473684210525
Stage 1b — BM25 top-500,val_008,30,2,28,0.06666666666666667
Stage 1b — BM25 top-500,val_009,14,0,14,0.0
Stage 1b — BM25 top-500,val_010,25,0,25,0.0
Stage 1b — BM25 top-500,val_001,42,9,33,0.21428571428571427
Stage 1b — BM25 top-500,val_002,38,0,38,0.0
Stage 1b — BM25 top-500,val_003,47,0,47,0.0
Stage 1b — BM25 top-500,val_004,10,6,4,0.6
Stage 1b — BM25 top-500,val_005,11,1,10,0.09090909090909091
Stage 1b — BM25 top-500,val_006,18,3,15,0.16666666666666666
Stage 1b — BM25 top-500,val_007,19,3,16,0.15789473684210525
Stage 1b — BM25 top-500,val_008,30,2,28,0.06666666666666667
Stage 1b — BM25 top-500,val_009,14,0,14,0.0
Stage 1b — BM25 top-500,val_010,25,0,25,0.0
Stage 1b — v7.5 rank top-3000,val_001,42,9,33,0.21428571428571427
Stage 1b — v7.5 rank top-3000,val_002,38,0,38,0.0
Stage 1b — v7.5 rank top-3000,val_003,47,0,47,0.0
Stage 1b — v7.5 rank top-3000,val_004,10,6,4,0.6
Stage 1b — v7.5 rank top-3000,val_005,11,1,10,0.09090909090909091
Stage 1b — v7.5 rank top-3000,val_006,18,3,15,0.16666666666666666
Stage 1b — v7.5 rank top-3000,val_007,19,3,16,0.15789473684210525
Stage 1b — v7.5 rank top-3000,val_008,30,2,28,0.06666666666666667
Stage 1b — v7.5 rank top-3000,val_009,14,0,14,0.0
Stage 1b — v7.5 rank top-3000,val_010,25,0,25,0.0
Stage 1a — full pool (v7.5),val_001,42,39,3,0.9285714285714286
Stage 1a — full pool (v7.5),val_002,38,30,8,0.7894736842105263
Stage 1a — full pool (v7.5),val_003,47,36,11,0.7659574468085106
Stage 1a — full pool (v7.5),val_004,10,10,0,1.0
Stage 1a — full pool (v7.5),val_005,11,11,0,1.0
Stage 1a — full pool (v7.5),val_006,18,17,1,0.9444444444444444
Stage 1a — full pool (v7.5),val_007,19,17,2,0.8947368421052632
Stage 1a — full pool (v7.5),val_008,30,25,5,0.8333333333333334
Stage 1a — full pool (v7.5),val_009,14,13,1,0.9285714285714286
Stage 1a — full pool (v7.5),val_010,25,22,3,0.88
Stage 1b — v7.5 rank top-3000,val_001,42,23,19,0.5476190476190477
Stage 1b — v7.5 rank top-3000,val_002,38,22,16,0.5789473684210527
Stage 1b — v7.5 rank top-3000,val_003,47,18,29,0.3829787234042553
